地名,センター,燃えるごみ,燃えないごみ,資源物
公文名,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
沢田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
島川,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
田ヶ谷,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
堀田上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
堀田下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
堀之内,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
日吉町,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
宮前,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
西通り,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
本通り上,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
本通り下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
新通,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
初咲町,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
日之出町１,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
緑ヶ丘,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
柳町,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160414 20160428 20160512 20160526 20160609 20160623 20160707 20160721 20160804 20160818 20160901 20160915 20160929 20161013 20161027 20161110 20161124 20161208 20161222 20160112 20160126 20160209 20160223 20160309 20160323
白岩下,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
三軒家,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
白岩東,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
白岩段,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
西袋,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
小川端,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
長池,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
御門,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
月岡,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160411 20160425 20160509 20160523 20160606 20160620 20160704 20160718 20160801 20160815 20160829 20160912 20160926 20161010 20161024 20161107 20161121 20161205 20161219 20160109 20160123 20160206 20160220 20160306 20160320
東平尾,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
西平尾,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
稲荷部,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
高田,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
段平尾,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
平尾,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
森,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
杉森,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
政所,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
奥横地,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
段横地,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
川島,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
西横地,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
土橋,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
奈良野,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
三沢,掛川市・菊川市衛生施設組合環境資源ギャラリー ,火 金,20160407 20160421 20160505 20160519 20160602 20160616 20160630 20160714 20160728 20160811 20160825 20160908 20160922 20161006 20161020 20161103 20161117 20161201 20161215 20161229 20160119 20160202 20160216 20160302 20160316 20160330,20160406 20160420 20160504 20160518 20160601 20160615 20160629 20160713 20160727 20160810 20160824 20160907 20160921 20161005 20161019 20161102 20161116 20161130 20161214 20161228 20160118 20160201 20160215 20160301 20160315 20160329
